	sent_id	sentence
14836	690	आईआईएम - अहमदाबाद के बोर्ड की बैठक १९ जून को , आईआईएम - कोलकाता बोर्ड की बैठक १८ जून को , आईआईएम - इंदौर बोर्ड की बैठक १४ जून को , आईआईएम - लखनऊ की बैठक २३ जून , आईआईएम - बंगलोर की बैठक २१ जून और आईआईएम - कोझीकोड की बैठक १९ जून को होने वाली है । 
14885	691	इसके बाद २५ जून तक इस मसले पर आम राय से कोई निर्णय ले लिया जाएगा । 
14902	692	मंत्रालय के सचिव के साथ आज की बैठक में आईआईएम - अहमदाबाद के निदेशक बाकुल ढोलकिया , आईआईएम - कोलकाता के निदेशक शेखर चौधरी , आईआईएम - लखनऊ के निदेशक देवी सिंह , आईआईएम - कोझीकोड के निदेशक कृष्ण कुमार , आईआईएम - इंदौर के निदेशक एस. पी. पराशर और आईआईएम - बंगलोर के निदेशक पी. जी. आप्टे शामिल हुए । 
14963	693	पटना हाईकोर्ट ने बृहस्पतिवार को बिहार सरकार से जेलों में संख्या से अधिक कैदियों की समस्या को हल करने और कैदियों के अपहरण और फिरौती का अवैध धंधा चलाने के लिए जेल से बाहर अपने साथियों से संपर्क रोकने के लिए जैमर लगाने के उपायों पर 27 जनवरी तक विस्तृत रिपोर्ट मांगी है । 
15017	694	चीफ जस्टिस जे. एन. भट्ट और जस्टिस आर. एन. प्रसाद वाली खंडपीठ ने राज्य सरकार से जेलों में अधिक कैदियों की समस्या हल करने और जन सुविधाएं बेहतर करने के लिए केंद्र की ओर से दिए जाने वाले धन के इस्तेमाल पर रिपोर्ट देने को कहा है । 
15065	695	खंडपीठ ने स्वयंसेवी संस्था कौंसिल फॉर प्रोटेक्शन ऑफ पब्लिक राइट्स एंड वेल्फेयर की याचिका पर यह निर्देश दिए । 
15084	696	अमेरिकी राष्ट्रपति चुनाव में जॉर्ज डब्लू बुश की जीत से भारत और अमेरिका के संबंधों को बदलने की जरूरत नहीं पड़ेगी । 
15106	697	इससे समय की भी बचत होगी और दोनों देशों के बीच तालमेल यथावत रहेगा । 
15121	698	अमेरिका में भारत के पूर्व राजदूत ललित मान सिंह और नरेश चंद्र की यही राय है । 
15138	699	ललित मान सिंह का मानना है कि राष्ट्रपति बुश के दोबारा व्हाइट हाउस में आने से दोनों देशों के बीच रणनीतिक साझेदारी की नीति जारी रहेगी । 
15165	700	उन्होंने कहा , मुझे उम्मीद है कि भारत और अमेरिका के बीच राजनीतिक वार्ता को और गति मिलेगी । 
15184	701	इस चुनाव में रिपब्लिकन और डेमोक्रेटिक पार्टियों के बीच आउटसोर्सिंग मुद्दे पर जमकर बहस हुई । 
15200	702	केरी के लिए तो यह महत्वपूर्ण चुनावी मुद्दा बन गया था । 
15212	703	इस बारे में ललित मान सिंह ने कहा कि बुश का मानना है कि भारत के साथ व्यापारिक रिश्ते में किसी प्रकार का कोई तनाव नहीं आना चाहिए । 
15241	704	नरेश चंद्रा ने कहा कि बुश के दोबारा राष्ट्रपति बनने से दोनों देशों को संबंधों में बदलाव की जरूरत नहीं होगी और इससे समय की बचत होगी । 
15269	705	उन्होंने कहा कि परमाणु अप्रसार मुद्दे पर रिपब्लिकन और डेमोक्रेट के विचारों में ज्यादा अंतर नहीं है । 
15287	706	पाकिस्तान , उत्तरी कोरिया और चीन द्वारा परमाणु अप्रसार संधि के उल्लंधन पर क्लिंटन और बुश दोनों की ही नीतियां निराश करने वाली रही हैं । 
15313	707	अमेरिकी सरकार के दो आपदा राहत विशेषज्ञ जम्मू कश्मीर में भूकंप प्रभावित इलाकों में सहायता सामग्री का वितरण करके लौटे हैं । 
15335	708	इन विशेषज्ञों के अनुसार जम्मू और कश्मीर के भूकंप प्रभावित लोगों को ठंड का मौसम करीब आने के कारण शीघ्र सहायता की जरूरत है । 
15360	709	उन्हें सिर छिपाने के लिए छत , गरम कपड़े और दूसरी जरूरी चीजें तत्काल मुहैया कराई जानी चाहिए । 
15379	710	यूनाइटेड स्टेट्स एजेंसी फॉर इंटरनेशनल डेवलपमेंट ( यूएसएआईडी ) आपदा राहत विशेषज्ञों ने जम्मू कश्मीर के चार दिवसीय दौरे से लौट कर बताया कि उन्होंने वहां देखा कि खराब मौसम और दुर्गम स्थलों तक पहुंचने में कठिनाई के कारण आवश्यक राहत सामग्री पहुंचाने की प्रक्रिया में देरी हो रही है । 
15430	711	विशेषज्ञों का यह दल आपात जरूरतों के मूल्यांकन के लिए घाटी गया था । 
15444	712	' सेव द चिल्ड्रेन ' और अमेरिकी सरकार की साझेदारी में उनकी ओर से पहला राहत पैकेज भूकंप प्रभावित जम्मू कश्मीर में वितरित किया गया । 
15470	713	इसके तहत अमेरिकी विशेषज्ञों ने कंबल और गरम जैकेट बांटे । 
15481	714	अमेरिकी सरकार ने यूएसएआईडी कार्यालय के जरिए ८ अक्तूबर को आए भूकंप प्रभावित इलाके में तत्काल प्रभाव से एक लाख डॉलर की मदद जारी की है । 
15508	715	इसकी आधी रकम ५०,००० डॉलर प्रधानमंत्री के राष्ट्रीय राहत कोष में गए हैं । 
15522	716	बाकी ५० हजार डॉलर सीधे राहत कार्य में लगाए गए हैं । 
15534	717	जबकि सेव द चिल्ड्रेन के सीधे राहत प्रयासों के तहत ५ लाख डॉलर निवेश किए गए हैं । 
15552	718	मुंबई की एक अदालत ने चर्चित डांस बार गर्ल तरन्नुम खान तथा दो अन्य सट्टेबाजों को जुआ खेलने के आरोप में २६ सितंबर तक के लिए पुलिस हिरासत में भेज दिया । 
15584	719	अदालत ने इन तीनों की जमानत याचिकाओं को भी खारिज कर दिया । 
15597	720	पुलिस ने प्रदीप परमार और धीरज नंदू उर्फ डीजे को बृहस्पतिवार को रात में , जबकि तरन्नुम को शुक्रवार सुबह गिरफ्तार किया । 
15616	721	शुक्रवार को दोपहर में तीनों को अदालत में पेश किया गया । 
15628	722	गौरतलब है कि आयकर विभाग के छापे के दौरान भारी मात्रा में नकदी और संपत्तियों में निवेश संबंधी दस्तावेजों के बरामद होने के बाद तरन्नुम सुर्खियों में आई थी । 
15657	723	जांच के दौरान आयकर अधिकारियों को बार गर्ल के मोबाइल में सट्टेबाजों और कुछ श्रीलंकाई क्रिकेटरों के टेलीफोन नंबर मिले थे । 
15679	724	इसके बाद मामले की जांच पुलिस ने अपने हाथ में ले ली थी । 
15693	725	पुलिस ने एक सप्ताह तक चली गहन पूछताछ के बाद तरन्नुम को गिरफ्तार किया है । 
15709	726	इन तीनों के खिलाफ आपराधिक साजिश रचने और सट्टेबाजी में शामिल होने का मामला दर्ज किया गया है । 
15728	727	पुलिस ने इस मामले में पहली बार सूचना प्रौद्योगिकी ( आईटी ) कानून के प्रावधानों का इस्तेमाल किया है । 
15748	728	एक टीवी इंटरव्यू में तरन्नुम ने यह स्वीकार किया था कि वह सट्टेबाजी के धंधे में शामिल थी और कुछ श्रीलंकाई क्रिकेटरों के साथ कथित संबंधों के कारण पुलिस उसकी जांच कर रही थी । 
15783	729	पुलिस इस मामले में यह पता लगाने की कोशिश कर रही है कि तरन्नुम का मैच फिक्सिंग से कोई संबंध था या नहीं । 
15806	730	पुलिस अधिकारियों का कहना है कि आरोपियों के सट्टेबाजी में लिप्त होने के बारे में उसके पास ठोस साक्ष्य है । 
15827	731	पक्ष - विपक्ष के सांसदों ने एक सुर में सरकार से मांग की कि उन्हें ब्रिटेन , अमेरिका और ऑस्ट्रेलिया के सांसदों की तरह वेतन , भत्ते दिये जाएं जिससे वे जनता की बेहतर ढंग से सेवा कर सकें । 
15865	732	सिर्फ माकपा ने इस प्रस्ताव का विरोध किया । 
15874	733	यह अलग बात है कि भारतीय सांसद इन देशों के सांसदों के मुकाबले आधा समय भी संसद को नहीं दे पाते हैं । 
15897	734	ललित सूरी द्वारा २९ जुलाई को रखे गये सांसदों के वेतन , भत्ते और पेंशन अधिनियम २००४ में संशोधन संबंधी निजी विधेयक पर हुई चर्चा के दौरान पक्ष - विपक्ष के सांसदों ने इस बात का खूब रोना रोया कि उनका मासिक वेतन महज १२ हजार रुपये है जो सरकारी क्लर्क की तनख्वाह से भी कम है । 
15955	735	उन्हें जनता की सेवा के लिए भी आवश्यक संसाधन उपलब्ध नहीं हैं । 
15968	736	पूर्व मुख्य चुनाव आयुक्त रह चुके एम. एस. गिल ने ब्रिटेन के सांसदों के वेतन और सहूलियतों का जिक्र करते हुए कहा कि सरकार को सांसदों की सुविधाओं के लिए तत्काल ३० - ४० करोड़ रुपये मंजूर करने चाहिए जिससे उनके लिए कार्यालय भवन बनाए जाएं । 
16015	737	भाजपा के कृपाल परमार ने कहा कि सिर्फ ४ - ५ फीसदी सांसद ही आर्थिक रूप से सक्षम हैं । 
16035	738	जो सांसद दिल्ली के बाहर अपने क्षेत्र में कार्य कर रहे हैं उन्हें विषम परिस्थितियों में कार्य करना पड़ता है । 
16056	739	उन्होंने कहा कि सांसदों को वाहन खरीदने के लिए एक लाख रुपये का ऋण दिया जाता है लेकिन इस राशि से सिर्फ आटोरिक्शा ही खरीदा जा सकता है । 
16085	740	माकपा के दीपांकर मुखर्जी ने इस प्रस्ताव का कड़ा विरोध करते हुए कहा कि पहले सांसदों को अपनी छवि सुधारनी चाहिए । 
16107	741	सांसदों की छवि जनता के बीच खराब है और यह अच्छा नहीं लगता कि हम अपना वेतन बढ़ाने की मांग करें । 
16129	742	उन्होंने कहा कि सहूलियतें मिलनी चाहिए लेकिन हमें यह भी देखना चाहिए कि आज निजीकरण के चलते बाजार में न्यूनतम मजदूरी ४० रुपये तक नीचे जा चुकी है । 
16158	743	हमें पहले ऐसे लोगों की चिंता करनी चाहिए । 
16167	744	पी. जे. चेरियन का कहना था कि चुनाव का खर्च सरकार उठाये तो इससे सांसदों को राहत मिलेगी । 
16185	745	फागुनी राम ने सवाल उठाया कि १२ हजार रुपये महीने में सांसद अपने क्षेत्र की जनता की सेवा कैसे कर पाएगा । 
16207	746	ईमानदारी से कार्य करने वाले सांसदों की स्थिति बाद में यह हो जाती है कि उन्हें कफन के लिए कपड़ा नसीब नहीं हो पाता । 
16232	747	सैफुद्दीन सोज ने कहा कि संसद भवन के भीतर उन्हें अपने सम्मानित मेहमान को बिठाने तक की सुविधा नहीं मिलती । 
16253	748	फारुख अब्दुल्ला ने सवाल किया कि अगर वेतन , भत्ते नहीं सुधरे तो सांसद बहुराष्ट्रीय कंपनियों के एजेंट बन जाएं । 
16272	749	कांग्रेस के जर्नादन पुजारी ने विदेशी सांसदों की सुविधाओं का ब्यौरा रखते हुए कहा कि ऑस्ट्रेलिया में सांसद को ९० हजार , ब्रिटेन में ८५ हजार तथा कनाडा में ६८ हजार डॉलर प्रति माह मिलता है । 
16303	750	एक अति महत्वपूर्ण फैसले में सुप्रीम कोर्ट ने राज्यसभा की निर्वाचन प्रक्रिया पर शुक्रवार को रोक लगा दी । 
16322	751	यह रोक १४ जून तक प्रभावी रहेगी और इसके बाद अदालत की दूसरी अवकाशकालीन पीठ मामला देखेगी । 
16340	752	संसद के ऊपरी सदन की ६५ सीटों के द्विवार्षिक व उप चुनाव के लिए प्रक्रिया आज से ही शुरू होनी थी । 
16362	753	अदालत ने खुले मतदान की नई प्रक्रिया व संबंधित राज्य का निवासी होने की बाध्यता खत्म करने को चुनौती देने वाली एक याचिका के आधार पर चुनाव आयोग को पक्षकार बनाते हुए उसे नोटिस जारी कर दिया । 
16400	754	वरिष्ठ पत्रकार व राज्यसभा के पूर्व सदस्य कुलदीप नैयर ने राजग सरकार द्वारा राज्यसभा चुनाव प्रक्रिया में किए गए संविधान संशोधन को सुप्रीम कोर्ट में चुनौती दी है । 
16429	755	शुक्रवार को न्यायमूर्ति रूमा पाल और न्यायमूर्ति बी. एन. अग्रवाल की पीठ ने केंद्र सरकार की उस प्रार्थना को ठुकरा दिया जिसमें कहा गया था कि चुनाव आयोग का जवाब आने तक अदालत कोई अंतरिम आदेश न जारी करे । 
16469	756	अदालत ने यह संज्ञान लेते हुए कि चुनाव आयोग चुनाव के संबंध में राष्ट्रपति को अनुरोध भेज चुका है और अधिसूचना के साथ चुनाव प्रक्रिया आज से ही शुरू होनी थी , अपना अंतरिम आदेश जारी कर दिया । 
16508	757	अदालत ने कहा कि यदि अधिसूचना गजट में प्रकाशित न हुई हो तो यह प्रकाशित न की जाए और यदि यह प्रकाशित हो चुकी हो तो इस पर अमल न किया जाए । 
16541	758	अदालत में व्यक्तिगत रूप से हाजिर हुए नैयर ने अपनी याचिका में कहा कि खुले वोट की प्रक्रिया संविधान में उल्लेखित मतदान की गोपनीयता के मूल सिद्धांत की धज्जी उड़ाना है । 
16573	759	राजग सरकार ने राज्यसभा चुनाव में विधायकों द्वारा विहिप का उल्लंघन कर धड़ल्ले से क्रॉस वोटिंग रोकने के लिए संविधान संशोधन कर खुले मतदान की व्यवस्था कर दी थी । 
16603	760	तत्कालीन विपक्ष कांग्रेस ने भी इसका समर्थन किया था । 
16613	761	नैयर ने कहा कि राज्यसभा प्रत्याशी के लिए उस राज्य का निवासी होने की बाध्यता खत्म करना भी संवैधानिक व्यवस्था के मूल ढांचे पर प्रहार है । 
16640	762	संविधान का मत है कि संसद के ऊपरी सदन का सदस्य संबंधित राज्य के विधानसभा और विधान परिषद सदस्यों का प्रतिनिधि होगा । 
16663	763	गौरतलब है कि राज्यसभा की खाली सीटों के लिए कम से कम तीन केंद्रीय मंत्री भी दावेदार हैं । 
16681	764	ये मंत्री किसी भी सदन के सदस्य नहीं हैँ और उन्हें छह महीने के भीतर यह अर्हता पूरी करनी है । 
16702	765	राज्यसभा के कुल २४५ सदस्यों में से एक तिहाई हर दूसरे साल रिटायर हो जाते हैं । 
16719	766	दिल्ली और मुंबई हवाई अड्डों के आधुनिकीकरण में प्रत्यक्ष विदेशी निवेश की सीमा ७४ प्रतिशत से घटाकर ४९ करने को मंत्रियों के समूह ( जीओएम ) ने सोमवार को मंजूरी दे दी । 
16752	767	रक्षा मंत्री प्रणव मुखर्जी की अध्यक्षता में जीओएम ने दिल्ली और मुंबई हवाई अड्डों के पुनर्गठन और आधुनिकीकरण के लिए संयुक्त उद्यमों में अधिसूचित भारतीय विमान कंपनियों की १० प्रतिशत भागीदारी के प्रस्ताव को भी हरी झंडी दे दी । 
16792	768	भारतीय हवाई अड्डा प्राधिकरण के कम से कम ४० प्रतिशत कर्मचारी तीन वर्ष के लिए प्रतिनियुक्ति पर नई संयुक्त उद्यम कंपनी में तैनात किए जाएंगे । 
16818	769	जबकि शेष कर्मचारी प्राधिकरण में ही रहेंगे । 
16826	770	जीओएम में केंद्रीय विधि मंत्री एच. आर. भारद्वाज , केंद्रीय नागरिक उड्डयन मंत्री प्रफुल्ल पटेल और केंद्रीय वित्त मंत्री पी. चिदंबरम शामिल हैं । 
16850	771	शिवसेना के पूर्व नेता राज ठाकरे ने शुक्रवार को भाजपा के वरिष्ठ नेताओं अटल बिहारी वाजपेयी व एल. के. आडवाणी से मुलाकात की । 
16874	772	मुलाकात के बाद उन्होंने कहा कि मैं वाजपेयी व आडवाणी का आशीर्वाद लेने यहां आया था । 
16891	773	राज ने अपने चचेरे भाई व शिवसेना के कार्यकारी अध्यक्ष उद्घव ठाकरे से मतभेद के बाद पार्टी छोड़ दी थी । 
16912	774	भाजपा के रजत जयंती समारोह के अंतिम दिन उन्होंने वाजपेयी व आडवाणी से मुलाकात की । 
16928	775	नए राजनीतिक दल गठित करने से पूर्व राज अगले महीने से राज्यव्यापी अभियान शुरू कर रहे हैं । 
16946	776	उन्होंने कहा कि वाजपेयी व आडवाणी से मुलाकात का नए दल के गठन से कोई संबंध नहीं है । 
16965	777	उन्होंने कहा कि दोनों वरिष्ठ नेता हैं और उनके प्रति आदर प्रकट करने के लिए मैंने उनसे मुलाकात की है । 
16986	778	मुलाकात के दौरान भाजपा के साथ किसी तरह के गठजोड़ पर चर्चा होने से उन्होंने इनकार किया । 
17004	779	यह पूछे जाने पर कि क्या वे बृहस्पतिवार की रात शिवसेना नेता मुरली मनोहर जोशी की भाजपा रैली में आकर पार्टी के वरिष्ठ नेताओं से मुलाकात करने को कोई महत्व देते हैं , उन्होंने कोई टिथी करने से इनकार कर दिया । 
17046	780	उन्होंने मीडिया से उन्हें इस तरह के मुद्दों में नहीं घसीटने के लिए कहा । 
17061	781	तमिलनाडु में जयललिता के साथ लोकसभा चुनाव लड़ने के जख्म सहला रही भाजपा ने रविवार को एक तरह से साफ कर दिया कि उनसे दोस्ती जारी रखने का जोखिम वह नहीं उठाएगी . 
17094	782	भाजपा अध्यक्ष वेंकैया नायडू ने अन्नाद्रमुक से गठबंधन जारी रखने से एक तरह से इनकार करते हुए रविवार को यहां कहा कि यह सिर्फ लोकसभा चुनाव के लिए था . 
17124	783	नायडू ने कांग्रेस के नेतृत्व वाली गठबंधन सरकार पर निशाना साधते हुए कहा कि उस पर अभी से तलवार लटक रही है . 
17147	784	उन्होंने मनमोहन सरकार के सात अशुभ संकेत भी गिनाए . 
17157	785	राज्य भाजपा नेताओं को संबोधित करने आए वेंकैया से पत्रकारों ने जब पूछा कि क्या जयललिता से दोस्ती जारी रहेगी तो उन्होंने कहा कि गठबंधन लोकसभा चुनाव के लिए था , चुनाव हो चुके हैं . 
17191	786	अब गठबंधन का सवाल अगले चुनाव पर ही तय होगा . 
17202	787	हालांकि उन्होंने यह स्पष्ट नहीं किया कि भाजपा उनसे नाता तोड़ लेगी या नहीं . 
17216	788	एक सवाल के जवाब में उन्होंने माना कि यदि जयललिता सरकार ने सरकारी कर्मचारियों से मामले हटाने , राजनीतिक विरोधियों के खिलाफ मुकदमे वापस लेने जैसे कदम चुनाव के पहले उठाए होते तो इससे निश्चित तौर पर फायदा होता . 
17254	789	उन्होंने कहा कि अच्छे प्रयासों का समर्थन और खराब का विरोध हम करते रहेंगे . 
17269	790	वेंकैया ने कहा कि चुनाव में हार से जुड़े मसलों पर उन्होंने अब तक जयललिता से बातचीत नहीं की है लेकिन कहा कि जरूरत पड़ने पर वह जरूर बात करेंगे . 
17300	791	जयललिता के इस्तीफे की विपक्षी दलों की मांग पर नायडू ने कहा कि ऐसा कोई नियम नहीं है कि संसदीय चुनाव में हारने वाली पार्टी को राज्य में गद्दी छोड़ देनी चाहिए . 
17333	792	कांग्रेस सरकार पर हमला बोलते हुए वेंकैया ने कहा कि प्रधानमंत्री निर्वाचित नहीं हुआ बल्कि उनका ' चयन ' हुआ , जो पहला अशुभ संकेत है . 
17360	793	हारे हुए लोगों को मंत्री बनाया गया और उन्हें बड़े महकमे दिए गए . 
17374	794	मुस्लिम लीग जैसे दल को मंत्रिमंडल में जगह दी गई . 
17385	795	जम्मू - कश्मीर में आतंकी हमले तेज हो रहे हैं . 
17396	796	देश पर आतंकवाद का खतरा कायम है . 
17404	797	अभी कुछ दिन पहले ही बीएसएफ के जवान और उनके परिजनों समेत ३० लोग मारे गए . 
17421	798	इन सबके बावजूद वोट बैंक की राजनीति के लिए पोटा हटाया जा रहा है . 
17436	799	उन्होंने कहा कि माकपा समेत वामदल ' वीटो पावर ' की धमकी देकर मनमोहन सिंह सरकार पर दबाव की राजनीति पर उतारू हैं . 
17460	800	वेंकैया ने कहा कि पश्चिम बंगाल के मुख्यमंत्री बुद्धदेव भट्टाचार्य कहते हैं ' माकपा के कहने पर केंद्र सरकार को बैठ जाना चाहिए , जब हम कहें कि खड़े हो तो यह ऐसा ही करेगी 
17493	801	भाजपा ने आरोप लगाया कि कर्नाटक में कांग्रेस ने सरकार बना कर जनादेश का मखौल उड़ाया है . 
17511	802	जनता उसे नकार चुकी थी , इसके बावजूद वे सत्ता पर काबिज हो गए . 
17523	803	यह सब शुभ लक्षण नहीं हैं . 
17530	804	वेंकैया ने कहा कि केंद्र सरकार को लेकर सबका विश्वास डोल रहा है , शेयर बाजार इसका सबसे बड़ा उदाहरण है . 
17550	805	ऐतिहासिक ताजमहल की स्थिति पर विवाद लगातार जारी है . 
17560	806	राजकुमार याकूब हबीबुद्दीन टुसी का कहना है कि वह अपने पूर्वजों के मकबरे पर केवल एक साल उर्स मनाने का अधिकार चाहते हैं . 
17584	807	गौरतलब है कि टुसी ने अंतिम मुगल बादशाह बहादुरशाह जफर का वशंज होने का दावा किया है . 
17601	808	उन्होंने कहा कि उनकी पहली टिथी को गलत ढ़ंग से पेश किया गया . 
17615	809	राजकुमार टुसी ने कहा कि उन्होंने अपनी टिथी में भारतीय पुरातत्वीय सर्वे ( एएसआई ) की कमाई में किसी प्रकार का दावा नहीं किया था . 
17641	810	यह एएसआई पर है कि मकबरे पर एक साल उर्स मनाने के उसके अधिकार की रक्षा करें . 
17659	811	उन्होंने कहा कि बहादुरशाह जफर के पूर्वज शाहजहां ने इस मकबरे को बनवाया था . 
17674	812	शाहजहां ने मकबरे को खुदा के नाम समर्पित कर दिया था न कि मौजूदा वक्फ बोर्ड के नाम वसीयत की थी . 
17696	813	बोर्ड का गठन १९६० में किया गया . 
17704	814	वहीं , अंतिम मुगल बादशाह बहादुर शाह जफर ने मकबरे की हकीम - ए - वक्त ( उस समय का शासक ) के नाम वसीयत कर दी . 
17732	815	जिसे अब भारत सरकार के नाम से जाना जाता है . 
17743	816	तेल घोटाले में घिरे केंद्रीय मंत्री नटवर सिंह ने मंगलवार को चुप्पी तोड़ते हुए कहा कि वे संसद में अपने ऊपर लगे आरोपों का जवाब देंगे । 
17770	817	बकौल उनके , वे कोई कायर नहीं हैं । 
17779	818	यह बात नटवर ने अपने आवास पर राजस्थान से आए समर्थकों को संबोधित करते हुए कही । 
17796	819	इससे पहले उनके समर्थकों को उनके आवास तक न आने देने की कोशिश भी हुई , इस पर डीसीपी अनीता राय और नटवर के पुत्र जगत सिंह के बीच तीखी बहस भी हुई । 
17830	820	नटवर ने कहा कि उनके घर पर जुटी समर्थकों की भीड़ किसी तरह का शक्ति प्रदर्शन नहीं है । 
17849	821	वे कोई ऐसा काम नहीं करेंगे , जिससे खुद उनको या समर्थकों को अपना सिर झुकाना पड़े । 
17867	822	उन्होंने किसी जांच से न डरने का ऐलान करते हुए कहा कि रिलायंस , टाटा व किर्लोस्कर का भी नाम रिपोर्ट में आया है । 
17892	823	इसलिए , सभी को अपना पक्ष रखने का मौका मिलना चाहिए । 
17904	824	नटवर ने कहा कि कांग्रेस एक महान पार्टी है , जिसका संबंध महात्मा गांधी , जवाहर लाल नेहरू और राजेंद्र प्रसाद से रहा है । 
17929	825	उन्होंने सरकारी निवास पर जुटे समर्थकों से सवालिया अंदाज में कहा कि क्या ऐसी पार्टी तेल बेच सकती है । 
17949	826	वे इस विशाल पार्टी के सदस्य हैं । 
17957	827	इस प्रकार के आरोप लगाने वालों को खुद अपने आप पर शर्मिंदा होना चाहिए । 
17972	828	नटवर सिंह के बेटे जगत सिंह ने भी जांच पर पूरा भरोसा जताया । 
17986	829	जगत सिंह के मुताबिक , यह पूरा प्रकरण भारतीय जनता पार्टी और अन्य लोगों का षड्यंत्र है । 
18004	830	इन अन्य लोगों का नाम बताने से उन्होंने इनकार कर दिया । 
18016	831	पर शायद उनका इशारा कांग्रेस में अपने विरोधियों की तरफ था । 
18028	832	पिता के समर्थन में जुटे लोगों के बारे में उनका कहना था कि क्षेत्र के लोगों को उनके परिवार से काफी प्यार है । 
18052	833	ये लोग उनके बंगले में जमा थे , जहां से एकाएक सात रेसकोर्स रोड स्थित प्रधानमंत्री आवास की ओर बढ़ गए । 
18074	834	मगर , समर्थकों में से कुछ ने माना कि वे नटवर सिंह के बेटे जगत सिंह के कहने पर ही यहां जमा हुए थे । 
18099	835	प्रधानमंत्री आवास के सामने प्रदर्शन भी जगत सिंह के कहने पर ही हुआ । 
18113	836	जबकि नटवर सिंह खुद इस बात के पक्ष में नहीं थे । 
18125	837	' राष्ट्रध्वज तिरंगा ' छपे परिधानों के इस्तेमाल पर रोक हटाने संबंधी प्रस्ताव को कैबिनेट ने आज मंज़ूरी दे दी । 
18146	838	इसके तहत आम जनता विशेष रूप से खिलाड़ी अपनी वर्दी और दूसरे कपड़ों में तिरंगे का इस्तेमाल कर सकेंगे । 
18166	839	लेकिन , अंडरगारमेंट और कमर से नीचे पहने जाने वाले कपड़ों पर तिरंगे का इस्तेमाल पहले की तरह प्रतिबंधित रहेगा । 
18187	840	प्रधानमंत्री मनमोहन सिंह की अध्यक्षता में हुई कैबिनेट की बैठक में वैदिक मंत्रोच्चार , संस्कृत थियेटर कोटियत्तम , रामलीला और आदिवासी नृत्य व संगीत जैसी सांस्कृतिक धरोहरों की हिफाज़त करने संबंधी प्रस्ताव को भी मंज़ूरी दे दी । 
18225	841	कैबिनेट ने टीवी चैनलों के अपलिंकिंग संबंधी नियमों का प्रस्ताव मंत्रियों के ' समूह जीओएम ' को सौंप दिया । 
18245	842	इसके ज़रिए सरकार न्यूज़ चैनलों पर प्रत्यक्ष विदेश निवेश ( एफडीआई ) को लेकर छाई धुंध साफ़ करना चाहती है । 
18266	843	मंत्रिमंडल की बैठक के बाद केंद्रीय सूचना और प्रसारण मंत्री एस जयपाल रेड्डी ने पत्रकारों को बताया कि मंत्रिमंडल ने राष्ट्रीय ' गौरव अवमानना प्रतिबंध ' अधिनियम १९७१ में संशोधन को मंज़ूरी दे दी । 
